track_id;track_name;track_number;track_popularity;explicit;artist_name;artist_name & track name;artist_popularity;artist_followers;artist_genres;album_id;album_name;album_release_date;anno;decade;album_total_tracks;album_type;track_duration_min
7rdHxPQimXkOcmUmsfGhxY;Trim;1;1;True;YUNG ALPO;YUNG ALPO - Trim;24;166,00;N/A;2oLtKEcuXiyWnsuHIUlNTF;Trim;2025-10-24;2025;2020;1;single;2.62
2H6cMXx0Kmj6XlbMx4BYi9;Trip;14;32;False;A2O;A2O - Trip;46;13826,00;c-pop;54XcHEnJ2BKMOzkeRrRubu;PAPARAZZI ARRIVE;2025-10-24;2025;2020;14;album;3.26
6DIrsJFPypT0Z3emDKnXYd;HEARTBREAK SZN;1;32;True;PRAX;PRAX - HEARTBREAK SZN;23;1982,00;N/A;5ywdzunlKaIQX3nEt0iGAk;HEARTBREAK SZN;2025-10-24;2025;2020;1;single;2.89
05aYqGC8NNxr4jiHbQXLG3;Higher Vibration;1;35;False;Mark II;Mark II - Higher Vibration;25;722,00;N/A;1a8W5aTsPfvsHhEG4xrdrH;Higher Vibration (feat. Aleesia);2025-10-24;2025;2020;2;single;2.4
0C42YiaJQyb0OExJ89bRbs;Hold On (We Are Going Home);1;34;False;Suark;Suark - Hold On (We Are Going Home);32;1496,00;N/A;21HfXluFe7g9btMxurTERv;Hold On (We Are Going Home);2025-10-24;2025;2020;1;single;3.58
1yLkASt2rIp9W5t3NuZrwQ;Kay;1;2;False;Vince Bello;Vince Bello - Kay;6;84,00;N/A;7zczAwbjqQLYRHG3Dsv2CC;Kay;2025-10-24;2025;2020;1;single;3.85
2zLnwikuCxJwMkEI8tqDN4;you never really cared;1;31;False;Anna Marx;Anna Marx - you never really cared;34;1693,00;N/A;4lsCek3wJDt94Ckqt4EBe7;you never really cared;2025-10-24;2025;2020;1;single;2.37
0kWQFzHzEPtvrKnwngvWyb;Master of the Kill;1;42;False;Ana Shine;Ana Shine - Master of the Kill;45;27570,00;N/A;3sco42g8ybU4RLqlVMurLE;Master of the Kill;2025-10-23;2025;2020;1;single;3.25
5NWYu2pYfLGu3iQB08RC4m;Fool For You;1;25;False;Stray Currents;Stray Currents - Fool For You;20;1073,00;N/A;26dDnkGL1FF3z1AsEBad3p;Fool For You;2025-10-22;2025;2020;1;single;3.07
4cVw1IeHrFuVS58Glolglb;blonde eyes;1;25;False;Sopperior;Sopperior - blonde eyes;30;2891,00;N/A;4nqRc4Bxdhrr49RmHWkFus;orphic;2025-10-21;2025;2020;5;single;2.41
31lp34zEvY603Xjkz2hrOo;limerence;2;13;False;Sopperior;Sopperior - limerence;30;2896,00;N/A;4nqRc4Bxdhrr49RmHWkFus;orphic;2025-10-21;2025;2020;5;single;1.48
1nNgDKWWX9MU9cp5FrHXRN;Love Crazy - Stash Konig Remix;1;31;False;MisterNez;MisterNez - Love Crazy - Stash Konig Remix;18;200,00;N/A;2kepsE9qO2QRTLCsF1byjn;Love Crazy (Stash Konig Remix);2025-10-20;2025;2020;1;single;3.26
4ljqKsDyZzicNpBIMvDaZ5;One More Time;5;6;False;Fraser Stott;Fraser Stott - One More Time;13;119,00;N/A;179fPnGB9pMjUUH2pT02o0;19;2025-10-19;2025;2020;9;album;3.94
5hw7dvgBRLvlCiALWwujYz;Nectar - B-Rain Remix;2;29;False;Senhit;Senhit - Nectar - B-Rain Remix;27;54636,00;N/A;4Z53gLriAjTmR7DQr1LRY4;Nectar (The Remixes);2025-10-17;2025;2020;3;single;2.95
6OTDBDVaK18xlne9rlGQok;No Glory;1;52;False;Besomorph;Besomorph - No Glory;58;146944,00;slap house;1jO43qFvbxg7hdp2LgMmyw;No Glory;2025-10-17;2025;2020;1;single;2.37
1NXbNEAcPvY5G1xvfN57aA;Dracula;3;80;True;Tame Impala;Tame Impala - Dracula;84;9509731,00;neo-psychedelic, indie;5WulAOx9ilWy1h8UGZ1gkI;Deadbeat;2025-10-17;2025;2020;12;album;3.42
6gRNWnK8b8BVfzrF65HGcf;PSYCHWARD (with WesGhost ft. Project Pat);1;51;True;Diplo;Diplo - PSYCHWARD (with WesGhost ft. Project Pat);77;2812337,00;moombahton;5oq9z5XNldcl7wTiEamVvo;PSYCHWARD;2025-10-17;2025;2020;4;single;2.88
1e73KA7YWgIS9cLszZJRTu;Where Have You Been;1;38;False;Ken;Ken - Where Have You Been;50;7219,00;hypertechno;5OPlNhEIlxUifin4l0gPL6;Where Have You Been;2025-10-17;2025;2020;1;single;2.08
44NbFZ0gEZ4U0LMMsHWyb3;Great Tomorrow;1;3;False;Kxng Leó;Kxng Leó - Great Tomorrow;1;177,00;N/A;0jFDIZgcya0j2cfR17izT9;Great Tomorrow;2025-10-17;2025;2020;1;single;2.21
05RK4klU7S2Jm50ONIjyM4;Hearts Grow Cold (Saint Noël) [feat. Olivia Cadenza];1;50;False;Kayote;Kayote - Hearts Grow Cold (Saint Noël) [feat. Olivia Cadenza];49;19306,00;N/A;0Kil1i9WrmbacxToZg8qk9;Hearts Grow Cold (Saint Noêl) [feat. Olivia Cadenza];2025-10-17;2025;2020;1;single;2.65
0Oriikd4ETp5qmzek6ZUD5;Talk To You (ft. Elton John);1;72;True;Sam Fender;Sam Fender - Talk To You (ft. Elton John);73;1204977,00;N/A;5tmaU5xBUYQYr2VkWhokIb;Talk To You (ft. Elton John);2025-10-17;2025;2020;1;single;5.28
5jw5yNpSTxdBAr1AV3N96s;The Way I Am Now;1;25;False;Lila Holler;Lila Holler - The Way I Am Now;17;1068,00;N/A;7xpJHorbY32dNwaRlBgXC5;The Way I Am Now;2025-10-17;2025;2020;1;single;3.77
0lRnxwJeUOxwEvWMw4uQKj;Think About Us;1;68;False;Sonny Fodera;Sonny Fodera - Think About Us;66;306842,00;house;1jmVSpWhzD8vciWg2Qtd5V;Think About Us;2025-10-17;2025;2020;1;single;2.96
6q43CVVE0VXEWlDjPdgH0c;Trophy Wife;1;32;True;Annalise Azadian;Annalise Azadian - Trophy Wife;31;5701,00;N/A;5XWqunjy0GiCQIOLtEyuyr;Trophy Wife;2025-10-17;2025;2020;1;single;2.86
0vXBmU9Zus9ZtbR4kvZAjH;baby can you sin for me;1;52;False;Ex Habit;Ex Habit - baby can you sin for me;59;130408,00;dark r&b;5eudqcLVRKtOtQdlHQ2yrm;baby can you sin for me;2025-10-16;2025;2020;1;single;2.69
5UDCl2GNB6gT4ataiXTIGH;Wild Side;1;48;False;Poul;Poul - Wild Side;53;1161,00;N/A;2U1CbDdkzsZ8noUsraKsoq;Wild Side;2025-10-16;2025;2020;1;single;2.5
0dtNBn7Uww8lHFTs6mittj;Amal;1;38;False;Abeer Nehme;Abeer Nehme - Amal;50;247771,00;sholawat, khaleeji;18hYLYMgQLsJiAso2Kok7w;Amal;2025-10-15;2025;2020;1;single;3.88
2OZVskV28xxJjjhQqKTLSg;PIXELATED KISSES;1;88;True;Joji;Joji - PIXELATED KISSES;81;10638942,00;N/A;3FLlai6YTV9IwCU0KolG1w;PIXELATED KISSES;2025-10-14;2025;2020;1;single;1.84
27sGm7McOlhSQ1szOJlpt8;MEGAFAUNA;1;24;True;Stanza;Stanza - MEGAFAUNA;10;218,00;N/A;17Jly2HpndZXgnbRZediYa;MEGAFAUNA;2025-10-14;2025;2020;1;single;2.87
6wi4GsP24EbQK8xrFl9tqI;2nd To Me;1;31;True;Christian Kennedy;Christian Kennedy - 2nd To Me;14;297,00;N/A;3yNBj3T5eLzUUwNvSDTJGc;2nd To Me;2025-10-13;2025;2020;1;single;3.26
7Lo6USa0PiDkwSL3SkohSi;Leavin;1;70;True;Rod Wave;Rod Wave - Leavin;76;9673984,00;N/A;3vz6TtkNMj2rdOIsJsTA3I;Leavin;2025-10-13;2025;2020;1;single;2.81
3Dy4xsff7c0fRaTJpA54yd;Gone Gone Gone;1;79;False;David Guetta;David Guetta - Gone Gone Gone;87;27141717,00;edm;39FHrt5YWp4HY7dHDn8Owz;Gone Gone Gone;2025-10-10;2025;2020;2;single;3.3
6t62npoUwUGjrwIawdgwA5;Goodbye For Now;1;33;False;Olivia Cox;Olivia Cox - Goodbye For Now;18;1263,00;hipdut;5IewtRLurwyZX1ymMd423l;Goodbye For Now;2025-10-10;2025;2020;1;single;3.5
2uHi2Fc38bs1keR72wTpwd;Here and Now (Where I Wanna Be);1;35;False;Briezman;Briezman - Here and Now (Where I Wanna Be);23;445,00;big room;1FgfwzQy0rltxdT9ALU34H;Here and Now (Where I Wanna Be);2025-10-10;2025;2020;1;single;3.03
3oKtvkoervQjzXyh1OMHHq;Hold My Hand;1;35;False;TAMMO;TAMMO - Hold My Hand;19;290,00;N/A;22vb50tbm97kkhmvCvnsik;Hold My Hand;2025-10-10;2025;2020;1;single;4.4
4nds6JYKbzMdpXwuINhSEZ;Part of Me;1;75;True;A Boogie Wit da Hoodie;A Boogie Wit da Hoodie - Part of Me;77;8986062,00;melodic rap;0UGixmRqK86q9d6T0kAFnv;Part of Me;2025-10-10;2025;2020;1;single;2.78
2n3qIOygTL44mYyPIqlH5q;Run For The Hills;1;37;False;Jason Charles Miller;Jason Charles Miller - Run For The Hills;43;17999,00;N/A;1HH8fxqDDNMlKm2T5C7EuF;Run For The Hills;2025-10-10;2025;2020;1;single;3.12
0n2QFaU59wkNJW0ruoaGeY;So Far;1;28;False;Visibly True;Visibly True - So Far;20;114,00;N/A;63iDybCEILGBowdFohSeSP;So Far;2025-10-10;2025;2020;1;single;3.07
6hjbNbbRdTCIW9qcZ8OA7t;Something Like This;1;33;False;The Haygoods;The Haygoods - Something Like This;20;7785,00;N/A;7ccsvL6dhojh3gW8ViZusg;Something Like This;2025-10-10;2025;2020;1;single;2.22
1DwscornXpj8fmOmYVlqZt;Stateside + Zara Larsson;10;74;False;PinkPantheress;PinkPantheress - Stateside + Zara Larsson;78;4761364,00;bedroom pop;12Lig9oAX9nvpWHft5cHgF;Fancy Some More?;2025-10-10;2025;2020;31;album;3.07
2qtQauWqPaGHrmrXbDa35k;Constellations;1;68;False;Ian Asher;Ian Asher - Constellations;70;223449,00;N/A;03loS7NR32bzSoH06Z2ESq;Constellations;2025-10-10;2025;2020;1;single;2.73
